dataset,split,method,seed,classifier,metric,acc,disp,hyp
compas,1,correlation_remover,1,KNN,TPR,0.6254050550874919,0.2442771084337349,0.4444444444444444
compas,1,correlation_remover,1,KNN,TPR,0.6254050550874919,0.2442771084337349,0.5555555555555556
compas,1,correlation_remover,1,KNN,TPR,0.6247569669475048,0.2442771084337349,0.6666666666666666
compas,1,correlation_remover,1,KNN,TPR,0.6221646143875567,0.2418674698795181,0.7777777777777777
compas,1,correlation_remover,1,KNN,TPR,0.6228127025275437,0.2210341365461848,0.8888888888888888
compas,1,correlation_remover,1,KNN,TPR,0.6234607906675308,0.1793674698795181,1.0
compas,1,correlation_remover,1,KNN,FPR,0.6474400518470512,0.1534804753820034,0.0
compas,1,correlation_remover,1,KNN,FPR,0.6234607906675308,0.2469686875416389,0.1111111111111111
compas,1,correlation_remover,1,KNN,FPR,0.6228127025275437,0.2190206528980679,0.2222222222222222
compas,1,correlation_remover,1,KNN,FPR,0.6247569669475048,0.2443371085942705,0.3333333333333333
compas,1,correlation_remover,1,KNN,FPR,0.6254050550874919,0.2316788807461692,0.4444444444444444
compas,1,correlation_remover,1,KNN,FPR,0.6254050550874919,0.2343104596935376,0.5555555555555556
compas,1,correlation_remover,1,KNN,FPR,0.6247569669475048,0.2469686875416389,0.6666666666666666
compas,1,correlation_remover,1,KNN,FPR,0.6221646143875567,0.2316788807461692,0.7777777777777777
compas,1,correlation_remover,1,KNN,FPR,0.6228127025275437,0.2190206528980679,0.8888888888888888
compas,1,correlation_remover,1,KNN,FPR,0.6234607906675308,0.2190206528980679,1.0
compas,1,correlation_remover,1,KNN,EO,0.6474400518470512,0.3150248051027639,0.0
compas,1,correlation_remover,1,KNN,EO,0.6234607906675308,0.2469686875416389,0.1111111111111111
compas,1,correlation_remover,1,KNN,EO,0.6228127025275437,0.2234437751004016,0.2222222222222222
compas,1,correlation_remover,1,KNN,EO,0.6247569669475048,0.2443371085942705,0.3333333333333333
compas,1,correlation_remover,1,KNN,EO,0.6254050550874919,0.2442771084337349,0.4444444444444444
compas,1,correlation_remover,1,KNN,EO,0.6254050550874919,0.2442771084337349,0.5555555555555556
compas,1,correlation_remover,1,KNN,EO,0.6247569669475048,0.2469686875416389,0.6666666666666666
compas,1,correlation_remover,1,KNN,EO,0.6221646143875567,0.2418674698795181,0.7777777777777777
compas,1,correlation_remover,1,KNN,EO,0.6228127025275437,0.2210341365461848,0.8888888888888888
compas,1,correlation_remover,1,KNN,EO,0.6234607906675308,0.2190206528980679,1.0
compas,1,correlation_remover,100,RF,DP,0.6772521062864549,0.320125786163522,0.0
compas,1,correlation_remover,100,RF,DP,0.6513285806869734,0.2857425840637844,0.1111111111111111
compas,1,correlation_remover,100,RF,DP,0.6513285806869734,0.2857425840637844,0.2222222222222222
compas,1,correlation_remover,100,RF,DP,0.6500324044069994,0.2857425840637844,0.3333333333333333
compas,1,correlation_remover,100,RF,DP,0.6513285806869734,0.2857425840637844,0.4444444444444444
compas,1,correlation_remover,100,RF,DP,0.6513285806869734,0.2857425840637844,0.5555555555555556
compas,1,correlation_remover,100,RF,DP,0.6513285806869734,0.2857425840637844,0.6666666666666666
compas,1,correlation_remover,100,RF,DP,0.6500324044069994,0.2857425840637844,0.7777777777777777
compas,1,correlation_remover,100,RF,DP,0.6513285806869734,0.2857425840637844,0.8888888888888888
compas,1,correlation_remover,100,RF,DP,0.6513285806869734,0.2857425840637844,1.0
compas,1,correlation_remover,100,RF,TPR,0.6772521062864549,0.3613040396881644,0.0
compas,1,correlation_remover,100,RF,TPR,0.6513285806869734,0.3751004016064257,0.1111111111111111
compas,1,correlation_remover,100,RF,TPR,0.6513285806869734,0.3751004016064257,0.2222222222222222
compas,1,correlation_remover,100,RF,TPR,0.6500324044069994,0.3751004016064257,0.3333333333333333
compas,1,correlation_remover,100,RF,TPR,0.6513285806869734,0.3751004016064257,0.4444444444444444
compas,1,correlation_remover,100,RF,TPR,0.6513285806869734,0.3751004016064257,0.5555555555555556
compas,1,correlation_remover,100,RF,TPR,0.6513285806869734,0.3751004016064257,0.6666666666666666
compas,1,correlation_remover,100,RF,TPR,0.6500324044069994,0.3751004016064257,0.7777777777777777
compas,1,correlation_remover,100,RF,TPR,0.6513285806869734,0.3751004016064257,0.8888888888888888
compas,1,correlation_remover,100,RF,TPR,0.6513285806869734,0.3751004016064257,1.0
compas,1,correlation_remover,100,RF,FPR,0.6772521062864549,0.2058573853989813,0.0
compas,1,correlation_remover,100,RF,FPR,0.6513285806869734,0.186718363306385,0.1111111111111111
compas,1,correlation_remover,100,RF,FPR,0.6513285806869734,0.1835835670681405,0.2222222222222222
compas,1,correlation_remover,100,RF,FPR,0.6500324044069994,0.186718363306385,0.3333333333333333
compas,1,correlation_remover,100,RF,FPR,0.6513285806869734,0.186718363306385,0.4444444444444444
compas,1,correlation_remover,100,RF,FPR,0.6513285806869734,0.186718363306385,0.5555555555555556
compas,1,correlation_remover,100,RF,FPR,0.6513285806869734,0.1835835670681405,0.6666666666666666
compas,1,correlation_remover,100,RF,FPR,0.6500324044069994,0.186718363306385,0.7777777777777777
compas,1,correlation_remover,100,RF,FPR,0.6513285806869734,0.186718363306385,0.8888888888888888
compas,1,correlation_remover,100,RF,FPR,0.6513285806869734,0.186718363306385,1.0
compas,1,correlation_remover,100,RF,EO,0.6772521062864549,0.3613040396881644,0.0
compas,1,correlation_remover,100,RF,EO,0.6513285806869734,0.3751004016064257,0.1111111111111111
compas,1,correlation_remover,100,RF,EO,0.6513285806869734,0.3751004016064257,0.2222222222222222
compas,1,correlation_remover,100,RF,EO,0.6500324044069994,0.3751004016064257,0.3333333333333333
compas,1,correlation_remover,100,RF,EO,0.6513285806869734,0.3751004016064257,0.4444444444444444
compas,1,correlation_remover,100,RF,EO,0.6513285806869734,0.3751004016064257,0.5555555555555556
compas,1,correlation_remover,100,RF,EO,0.6513285806869734,0.3751004016064257,0.6666666666666666
compas,1,correlation_remover,100,RF,EO,0.6500324044069994,0.3751004016064257,0.7777777777777777
compas,1,correlation_remover,100,RF,EO,0.6513285806869734,0.3751004016064257,0.8888888888888888
compas,1,correlation_remover,100,RF,EO,0.6513285806869734,0.3751004016064257,1.0
compas,1,correlation_remover,100,LR,DP,0.6811406351263772,0.3095518867924528,0.0
compas,1,correlation_remover,100,LR,DP,0.6811406351263772,0.2685927672955974,0.1111111111111111
compas,1,correlation_remover,100,LR,DP,0.6804925469863902,0.2477594339622641,0.2222222222222222
compas,1,correlation_remover,100,LR,DP,0.6804925469863902,0.2244103773584905,0.3333333333333333
compas,1,correlation_remover,100,LR,DP,0.679196370706416,0.1922562893081761,0.4444444444444444
compas,1,correlation_remover,100,LR,DP,0.6772521062864549,0.1877088948787061,0.5555555555555556
compas,1,correlation_remover,100,LR,DP,0.6740116655865198,0.1600359389038634,0.6666666666666666
compas,1,correlation_remover,100,LR,DP,0.6746597537265068,0.148607367475292,0.7777777777777777
compas,1,correlation_remover,100,LR,DP,0.6746597537265068,0.148607367475292,0.8888888888888888
compas,1,correlation_remover,100,LR,DP,0.6740116655865198,0.2065476190476191,1.0
compas,1,correlation_remover,100,LR,TPR,0.6811406351263772,0.3140326009922041,0.0
compas,1,correlation_remover,100,LR,TPR,0.6811406351263772,0.2359319631467045,0.1111111111111111
compas,1,correlation_remover,100,LR,TPR,0.6804925469863902,0.2110890162592116,0.2222222222222222
compas,1,correlation_remover,100,LR,TPR,0.6804925469863902,0.2086793777049946,0.3333333333333333
compas,1,correlation_remover,100,LR,TPR,0.679196370706416,0.1990408234881272,0.4444444444444444
compas,1,correlation_remover,100,LR,TPR,0.6772521062864549,0.1942215463796934,0.5555555555555556
compas,1,correlation_remover,100,LR,TPR,0.6740116655865198,0.167715522283308,0.6666666666666666
compas,1,correlation_remover,100,LR,TPR,0.6746597537265068,0.1482980465551526,0.7777777777777777
